customer_id,customer_name,email,city,country
1,Angela Nelson,mjohnston@example.org,Jasontown,Austria
2,John Jacobs,maurice98@example.org,Willisbury,Greenland
3,Amber Charles,henrynicole@example.com,East Markmouth,Oman
4,Daniel Lewis,bberry@example.com,South Dariusmouth,French Polynesia
5,Lynn Gill,destiny23@example.com,Williamport,Central African Republic
6,Bobby Willis,parrishtara@example.org,Thomasside,Cuba
7,Katrina Chandler,frankallen@example.org,Markbury,Bahamas
8,Yvonne Ellis,mrobinson@example.com,Lake Johnshire,Korea
9,Julie Coffey,sherricarroll@example.net,Robertview,Monaco
10,Shelly Scott,allison97@example.net,Port Richardfort,Jersey
11,Jacqueline Jones,melissa38@example.net,Crystalton,Nauru
12,George Lawson,sheilabarnes@example.com,New Brittanyshire,Montenegro
13,Nicole Lowe,melanie29@example.com,Toddtown,Egypt
14,Justin Harris,shawmeagan@example.com,Bakerchester,Algeria
15,Abigail Beard,diazkendra@example.com,Leehaven,Lao People's Democratic Republic
16,Ariel Middleton,jeremiahsanders@example.net,Dianeborough,Ireland
17,Monica Spencer,courtney70@example.com,East Albertfurt,Korea
18,Brett Coffey,lramos@example.com,Alantown,Poland
19,Wendy Smith,turnerlucas@example.com,Debramouth,Slovenia
20,Andrea Keller,mary14@example.org,Jennytown,British Indian Ocean Territory (Chagos Archipelago)
21,Frank Sharp,sarahhall@example.org,Lake Deniseland,Panama
22,Carolyn Pearson,morrowkelli@example.net,Lake Cynthia,Equatorial Guinea
23,Jesse Tran,waltonlisa@example.net,East Natalieburgh,Nepal
24,Kenneth House,zshields@example.net,Nealmouth,French Guiana
25,Ian Garcia,colemarcus@example.net,Gloverbury,Svalbard & Jan Mayen Islands
26,Judith Mullins,nicholas90@example.com,Weaverton,Togo
27,Matthew Cervantes,miguelrichardson@example.com,Vargasside,Solomon Islands
28,Joseph Mcgee,williamslori@example.com,West Tiffany,Bahrain
29,Mike Cooley,psanchez@example.org,Lake Mollyburgh,Guam
30,Cameron Farmer,john33@example.org,New Jeromeport,Cambodia
31,Jessica Stewart,wgates@example.org,Shermanbury,Pitcairn Islands
32,Jasmin Drake,unknown@email.com,East David,Uganda
33,Debra Davis,krystaltucker@example.net,East Richardview,Cuba
34,Timothy Smith,coltonmoore@example.com,Mirandamouth,Cuba
35,Taylor Oliver,hernandezmargaret@example.com,Port Deanna,Fiji
36,Jesse Gardner,yreynolds@example.org,West Matthewbury,Antarctica (the territory South of 60 deg S)
37,Brian Miller,zvincent@example.net,North Katherinefort,Isle of Man
38,Casey Brandt,brianwallace@example.com,East Michaelberg,Cambodia
39,Crystal Taylor,sharonjackson@example.net,Melissaton,Ireland
40,Christopher Snyder,apatterson@example.net,Martinezville,Kiribati
41,Kim Espinoza,nyoung@example.com,East Austin,Yemen
42,Christopher Hodges,adammercer@example.net,Lake Gina,Cambodia
43,Fernando Mcdonald,jason92@example.org,South Robert,Uzbekistan
44,Evan Hurley,martindonald@example.org,North Andrewchester,Gambia
45,Amber Stevenson,daniel03@example.com,Ramosshire,Greece
46,Joanna Jackson,shawmalik@example.com,West Angela,Peru
47,Patricia Martin,ronniescott@example.net,Villaland,Christmas Island
48,Monique Diaz,rrose@example.net,Trujilloburgh,Gambia
49,Kevin Black,elizabethking@example.net,South Teresastad,Azerbaijan
50,Mark Boyer,alvaradokelly@example.net,Snyderton,El Salvador
51,Vanessa Baker,francosusan@example.net,New Ashleyton,Guinea-Bissau
52,Marcus Murphy,megan40@example.com,Port Ashleytown,Nigeria
53,Shannon Blevins,elizabeth06@example.org,Nicholsville,Saint Lucia
54,Cesar Bartlett,upadilla@example.org,Bradleystad,Morocco
55,Stephanie Ruiz,beckamanda@example.org,Michaelaview,Lebanon
56,Brett Smith,ugilbert@example.org,Justinmouth,Grenada
57,James Mitchell,wroach@example.com,Frenchshire,Slovenia
58,Barbara Williams,vstephenson@example.com,Dominiquebury,Fiji
59,John Carrillo,john80@example.com,New Laurenfurt,Reunion
60,Alyssa Watson,teresarobertson@example.net,Heidibury,British Virgin Islands
61,Kevin Williams,jacqueline37@example.org,Brianfort,Ghana
62,Michael Meadows,johnathan23@example.com,Hinesberg,Guam
63,Justin Wilson,edwardmorgan@example.org,Davidview,Egypt
64,Joshua Mitchell,georgemichele@example.net,Kellyland,United States Virgin Islands
65,John Neal,joshuarichardson@example.org,South Margaretland,Madagascar
66,Kimberly Knight,taradavis@example.org,Rogersberg,Cyprus
67,Deborah Wood,karen67@example.com,Christophertown,Norfolk Island
68,Robin Harrell,robert14@example.net,Caitlynshire,Finland
69,David Walls,lporter@example.net,Danielberg,Bouvet Island (Bouvetoya)
70,Cassandra Martinez,knightdalton@example.com,Yvonnefurt,Djibouti
71,Brittany Walker,butlercarl@example.com,West Katherinetown,Switzerland
72,Claire Hart,brianna80@example.com,Leechester,Albania
73,Cameron Freeman,sanchezmatthew@example.net,West Johntown,Bahamas
